unique_user_id,course_name,course_platform,QID334_p,QID355_p,QID389_p,QID383,QID354,QID699,QID601_1,QID601_2,QID601_3,QID601_4,QID601_6,QID601_15,QID601_16,QID373_11,QID373_12,QID373_13,QID373_14,QID373_15,QID373_16,QID373_17,QID373_21,QID373_22,QID373_9,QID387_25,QID387_27,QID387_28,QID387_30,QID387_32,QID387_34,QID387_37
,INTRO Fall 2016,EDX,Doctoral student,True,no,yes,yes,1.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,4.0,4.0,2.0,4.0,2.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0
,INTRO Fall 2016,EDX,Doctoral student,,no,yes,yes,1.0,3.0,2.0,2.0,1.0,2.0,3.0,3.0,1.0,3.0,2.0,,,,,,,4.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0
,INTRO Fall 2016,EDX,Other,,no,yes,yes,1.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,4.0,,1.0,4.0,4.0,1.0,3.0,1.0,,2.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0
,INTRO Fall 2016,EDX,Doctoral student,False,no,yes,yes,1.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,,4.0,,,3.0,,3.0,,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0
,INTRO Fall 2016,EDX,Faculty,,no,yes,no,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,4.0,2.0,1.0,,3.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0
,INTRO Fall 2016,EDX,Faculty,False,no,yes,yes,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,3.0,3.0,3.0,,3.0,3.0,0.0,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
,INTRO Fall 2016,EDX,Faculty,True,no,yes,yes,1.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,,2.0,3.0,2.0,2.0,,2.0,,,4.0,2.0,1.0,3.0,1.0,2.0,3.0,4.0
,INTRO Fall 2016,EDX,Other,,no,yes,yes,2.0,3.0,2.0,2.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,,,,,2.0,,3.0,3.0,3.0,3.0,3.0,3.0,,
,INTRO Fall 2016,EDX,Doctoral student,True,no,yes,yes,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,1.0,3.0,3.0,4.0,1.0,2.0,,,4.0,3.0,3.0,2.0,2.0,4.0,4.0,3.0
,INTRO Fall 2016,EDX,Faculty,,no,yes,yes,1.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,4.0,2.0,4.0,4.0,4.0,2.0,4.0,1.0,1.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0
,INTRO Fall 2016,EDX,Post-doctoral researcher,,yes,yes,yes,1.0,3.0,3.0,3.0,2.0,3.0,1.0,1.0,,1.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,4.0,3.0,4.0,4.0,3.0,3.0,2.0,4.0
,INTRO Fall 2016,EDX,Other,True,yes,yes,yes,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,1.0,4.0,,,,1.0,0.0,4.0,2.0,2.0,3.0,3.0,0.0,3.0,4.0,3.0
,INTRO Fall 2016,EDX,Doctoral student,True,no,yes,yes,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,,,4.0,,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
,INTRO Fall 2016,EDX,Faculty,,no,yes,yes,1.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0
,INTRO Fall 2016,EDX,Doctoral student,True,no,yes,yes,2.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0
,INTRO Fall 2016,EDX,Doctoral student,True,no,yes,yes,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,3.0,0.0,3.0,0.0,,2.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0
,INTRO Fall 2016,EDX,Post-doctoral researcher,True,no,yes,yes,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,3.0,,,2.0,,,,3.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0
,INTRO Fall 2016,EDX,Doctoral student,True,yes,yes,yes,2.0,3.0,2.0,2.0,1.0,2.0,3.0,3.0,,1.0,2.0,4.0,4.0,,4.0,1.0,2.0,2.0,3.0,2.0,3.0,3.0,4.0,4.0,4.0
,INTRO Fall 2016,EDX,Doctoral student,True,yes,yes,yes,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,,4.0,4.0,,4.0,3.0,4.0,3.0,3.0,3.0
,INTRO Fall 2016,EDX,Doctoral student,,no,yes,yes,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,2.0,4.0,3.0,3.0,,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0
,INTRO Fall 2016,EDX,Post-doctoral researcher,,no,yes,yes,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,3.0,3.0,2.0,3.0,2.0,3.0,3.0,,4.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0
,INTRO Fall 2016,EDX,,,no,yes,yes,2.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,,3.0,4.0,2.0,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,
,INTRO Fall 2016,EDX,Other,,no,yes,yes,2.0,3.0,0.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,4.0,,,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
,INTRO Fall 2016,EDX,Post-doctoral researcher,True,yes,yes,yes,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,,2.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
,INTRO Fall 2016,EDX,Other,,yes,no,yes,0.0,0.0,0.0,3.0,1.0,3.0,2.0,2.0,4.0,1.0,2.0,4.0,2.0,,4.0,,4.0,2.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0
,INTRO Fall 2016,EDX,Other,True,no,yes,yes,1.0,3.0,3.0,1.0,2.0,1.0,2.0,2.0,0.0,,3.0,4.0,,1.0,4.0,,,4.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0
,INTRO Fall 2016,EDX,Other,True,yes,yes,yes,0.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,1.0,3.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
,INTRO Fall 2016,EDX,Other,False,yes,yes,yes,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,2.0,2.0,2.0,3.0,1.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0
,INTRO Fall 2016,EDX,Doctoral student,True,yes,yes,yes,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,0.0,2.0,1.0,3.0,3.0,3.0,0.0,4.0,1.0,4.0,4.0,4.0,2.0,2.0,3.0,3.0
,INTRO Fall 2016,EDX,Doctoral student,True,yes,yes,yes,1.0,3.0,1.0,2.0,0.0,2.0,2.0,2.0,4.0,2.0,3.0,4.0,4.0,2.0,4.0,,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0
,INTRO Fall 2016,EDX,Post-doctoral researcher,True,no,yes,yes,1.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,1.0,1.0,2.0,3.0,,3.0,3.0,,,4.0,2.0,4.0,4.0,3.0,4.0,4.0,3.0
,INTRO Fall 2016,EDX,Other,True,yes,,yes,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
,INTRO Fall 2016,EDX,Doctoral student,True,yes,yes,yes,2.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,2.0,4.0,2.0,3.0,4.0,,3.0,2.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,3.0
,INTRO Fall 2016,EDX,Faculty,,no,yes,yes,2.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,,,,,,,,,,,4.0,4.0,4.0,3.0,3.0,3.0,4.0
,INTRO Fall 2016,EDX,Post-doctoral researcher,True,yes,yes,no,2.0,1.0,0.0,0.0,1.0,2.0,2.0,3.0,3.0,,1.0,3.0,3.0,0.0,,1.0,4.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,1.0
,INTRO Fall 2016,EDX,Faculty,,no,yes,yes,1.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,4.0,4.0,,2.0,4.0,2.0,,4.0,3.0,3.0,3.0,2.0,4.0,4.0,3.0
,INTRO Fall 2016,EDX,Doctoral student,True,yes,yes,yes,2.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,2.0,3.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0
